"entry_id","site_id","channel_id","author_id","forum_topic_id","ip_address","title","url_title","status","status_id","versioning_enabled","view_count_one","view_count_two","view_count_three","view_count_four","allow_comments","sticky","entry_date","year","month","day","expiration_date","comment_expiration_date","edit_date","recent_comment_date","comment_total",
"218617","1","26","139","0","173.235.121.50","KO-218617","ko-218617","Shipped","15","y","0","0","0","0","y","n","1641574055","2022","01","07","0","0","1643384141","","0",
"218618","1","26","259","0","108.199.82.64","KO-218618","ko-218618","Shipped","15","y","0","0","0","0","y","n","1641575667","2022","01","07","0","0","1646768167","","0",
"218619","1","26","1515","0","185.203.219.192","KO-218619","ko-218619","Shipped","15","y","0","0","0","0","y","n","1641575700","2022","01","07","0","0","1641846934","0","0",
"218621","1","26","1600","0","174.248.153.173","KO-218621","ko-218621","Shipped","15","y","0","0","0","0","y","n","1641576279","2022","01","07","0","0","1641584140","","0",
"218622","1","26","139","0","173.235.121.50","KO-218622","ko-218622","Shipped","15","y","0","0","0","0","y","n","1641576698","2022","01","07","0","0","1642448122","","0",
"218623","1","26","374","0","50.202.229.42","KO-218623","ko-218623","Shipped","15","y","0","0","0","0","y","n","1641578227","2022","01","07","0","0","1643391302","","0",
"218624","1","26","258","0","12.197.234.114","KO-218624","ko-218624","Shipped","15","y","0","0","0","0","y","n","1641578757","2022","01","07","0","0","1641584136","","0",
"218625","1","26","79","0","96.81.60.233","KO-218625","ko-218625","Shipped","15","y","0","0","0","0","y","n","1641578798","2022","01","07","0","0","1645562111","","0",
"218626","1","26","1128","0","74.218.144.178","KO-218626","ko-218626","Shipped","15","y","0","0","0","0","y","n","1641579026","2022","01","07","0","0","1646775306","","0",
"218628","1","26","512","0","24.235.94.254","KO-218628","ko-218628","Shipped","15","y","0","0","0","0","y","n","1641579300","2022","01","07","0","0","1641828916","0","0",
"218629","1","26","1375","0","173.30.211.102","KO-218629","ko-218629","Shipped","15","y","0","0","0","0","y","n","1641579751","2022","01","07","0","0","1641825397","","0",
"218633","1","26","1754","0","71.237.89.162","KO-218633","ko-218633","Shipped","15","y","0","0","0","0","y","n","1641580978","2022","01","07","0","0","1642016130","","0",
"218635","1","26","1508","0","98.40.176.246","KO-218635","ko-218635","Shipped","15","y","0","0","0","0","y","n","1641582188","2022","01","07","0","0","1641825335","","0",
"218637","1","26","512","0","24.235.94.254","KO-218637","ko-218637","Shipped","15","y","0","0","0","0","y","n","1641583320","2022","01","07","0","0","1641836179","0","0",
"218645","1","26","495","0","173.166.31.233","KO-218645","ko-218645","Shipped","15","y","0","0","0","0","y","n","1641584175","2022","01","07","0","0","1642091702","","0",
"218649","1","26","1559","0","68.51.63.123","KO-218649","ko-218649","Shipped","15","y","0","0","0","0","y","n","1641584952","2022","01","07","0","0","1641843307","","0",
"218650","1","26","225","0","71.94.78.184","KO-218650","ko-218650","Shipped","15","y","0","0","0","0","y","n","1641584980","2022","01","07","0","0","1641832507","","0",
"218652","1","26","1494","0","73.254.21.241","KO-218652","ko-218652","Shipped","15","y","0","0","0","0","y","n","1641586464","2022","01","07","0","0","1641846943","","0",
"218653","1","26","499","0","47.207.12.62","KO-218653","ko-218653","Shipped","15","y","0","0","0","0","y","n","1641586524","2022","01","07","0","0","1641936936","","0",
"218655","1","26","1754","0","71.237.89.162","KO-218655","ko-218655","Shipped","15","y","0","0","0","0","y","n","1641587102","2022","01","07","0","0","1641832542","","0",
"218656","1","26","459","0","173.212.13.212","KO-218656","ko-218656","Shipped","15","y","0","0","0","0","y","n","1641587387","2022","01","07","0","0","1641832558","","0",
"218658","1","26","47","0","73.238.170.116","KO-218658","ko-218658","Shipped","15","y","0","0","0","0","y","n","1641588420","2022","01","07","0","0","1641836121","0","0",
"218659","1","26","715","0","65.30.199.227","KO-218659","ko-218659","Shipped","15","y","0","0","0","0","y","n","1641590413","2022","01","07","0","0","1642088140","","0",
"218660","1","26","1100","0","206.51.131.10","KO-218660","ko-218660","Shipped","15","y","0","0","0","0","y","n","1641591313","2022","01","07","0","0","1642170911","","0",
"218661","1","26","1754","0","71.237.89.162","KO-218661","ko-218661","Shipped","15","y","0","0","0","0","y","n","1641591814","2022","01","07","0","0","1641832552","","0",
"218663","1","26","1754","0","71.237.89.162","KO-218663","ko-218663","Shipped","15","y","0","0","0","0","y","n","1641593181","2022","01","07","0","0","1641839702","","0",
"218664","1","26","646","0","187.212.207.107","KO-218664","ko-218664","Shipped","15","y","0","0","0","0","y","n","1641593871","2022","01","07","0","0","1645810510","","0",
"218665","1","26","1334","0","174.102.154.138","KO-218665","ko-218665","Shipped","15","y","0","0","0","0","y","n","1641594360","2022","01","07","0","0","1641850546","","0",
"218668","1","26","259","0","108.199.82.64","KO-218668","ko-218668","Shipped","15","y","0","0","0","0","y","n","1641596197","2022","01","07","0","0","1641836142","","0",
"218669","1","26","1739","0","216.14.21.134","KO-218669","ko-218669","Shipped","15","y","0","0","0","0","y","n","1641596339","2022","01","07","0","0","1641836173","","0",
"218670","1","26","1323","0","76.190.42.154","KO-218670","ko-218670","Shipped","15","y","0","0","0","0","y","n","1641596573","2022","01","07","0","0","1641836112","","0",
"218671","1","26","1505","0","24.234.217.88","KO-218671","ko-218671","Shipped","15","y","0","0","0","0","y","n","1641596723","2022","01","07","0","0","1641846939","","0",
"218674","1","26","341","0","69.143.137.173","KO-218674","ko-218674","Shipped","15","y","0","0","0","0","y","n","1641644772","2022","01","08","0","0","1641915369","","0",
"218675","1","26","853","0","24.52.79.178","KO-218675","ko-218675","Shipped","15","y","0","0","0","0","y","n","1641646227","2022","01","08","0","0","1643657725","","0",
"218678","1","26","185","0","98.103.72.245","KO-218678","ko-218678","Shipped","15","y","0","0","0","0","y","n","1641736753","2022","01","09","0","0","1641846915","","0",
"218679","1","26","185","0","98.103.72.245","KO-218679","ko-218679","Shipped","15","y","0","0","0","0","y","n","1641737794","2022","01","09","0","0","1641850536","","0",
"218680","1","26","185","0","98.103.72.245","KO-218680","ko-218680","Shipped","15","y","0","0","0","0","y","n","1641739870","2022","01","09","0","0","1641915361","","0",
"218681","1","26","185","0","98.103.72.245","KO-218681","ko-218681","Shipped","15","y","0","0","0","0","y","n","1641741025","2022","01","09","0","0","1641839728","","0",
"218682","1","26","1515","0","75.24.114.174","KO-218682","ko-218682","Shipped","15","y","0","0","0","0","y","n","1641742020","2022","01","09","0","0","1641839732","0","0",
"218683","1","26","1515","0","75.24.114.174","KO-218683","ko-218683","Shipped","15","y","0","0","0","0","y","n","1641742380","2022","01","09","0","0","1641843349","0","0",
"218684","1","26","860","0","74.75.100.245","KO-218684","ko-218684","Shipped","15","y","0","0","0","0","y","n","1641755505","2022","01","09","0","0","1641832547","","0",
"218685","1","26","185","0","98.103.72.245","KO-218685","ko-218685","Shipped","15","y","0","0","0","0","y","n","1641759740","2022","01","09","0","0","1642527320","","0",
"218686","1","26","1515","0","75.24.114.174","KO-218686","ko-218686","Shipped","15","y","0","0","0","0","y","n","1641771960","2022","01","09","0","0","1641836116","0","0",
"218687","1","26","1515","0","75.24.114.174","KO-218687","ko-218687","Shipped","15","y","0","0","0","0","y","n","1641781860","2022","01","09","0","0","1641850511","0","0",
"218688","1","26","1515","0","75.24.114.174","KO-218688","ko-218688","Shipped","15","y","0","0","0","0","y","n","1641820560","2022","01","10","0","0","1641850520","0","0",
"218689","1","26","1747","0","73.161.195.206","KO-218689","ko-218689","Shipped","15","y","0","0","0","0","y","n","1641823064","2022","01","10","0","0","1641850524","","0",
"218691","1","26","1754","0","71.237.89.162","KO-218691","ko-218691","Shipped","15","y","0","0","0","0","y","n","1641824099","2022","01","10","0","0","1642520115","","0",
"218694","1","26","1723","0","96.95.235.169","KO-218694","ko-218694","Shipped","15","y","0","0","0","0","y","n","1641824411","2022","01","10","0","0","1641846930","","0",
"218695","1","26","1723","0","96.95.235.169","KO-218695","ko-218695","Shipped","15","y","0","0","0","0","y","n","1641824542","2022","01","10","0","0","1641846919","","0",
"218698","1","26","394","0","24.175.255.122","KO-218698","ko-218698","Shipped","15","y","0","0","0","0","y","n","1641827472","2022","01","10","0","0","1641850515","","0",
"218699","1","26","1816","0","70.142.196.121","KO-218699","ko-218699","Shipped","15","y","0","0","0","0","y","n","1641827495","2022","01","10","0","0","1641832502","","0",
"218700","1","26","1754","0","71.237.89.162","KO-218700","ko-218700","Shipped","15","y","0","0","0","0","y","n","1641827629","2022","01","10","0","0","1641839707","","0",
"218701","1","26","1100","0","206.51.131.10","KO-218701","ko-218701","Shipped","15","y","0","0","0","0","y","n","1641829956","2022","01","10","0","0","1641850551","","0",
"218702","1","26","905","0","76.29.245.237","KO-218702","ko-218702","Shipped","15","y","0","0","0","0","y","n","1641830814","2022","01","10","0","0","1641843341","","0",
"218703","1","26","722","0","74.143.23.22","KO-218703","ko-218703","Shipped","15","y","0","0","0","0","y","n","1641831404","2022","01","10","0","0","1641846974","","0",
"218704","1","26","215","0","67.190.33.69","KO-218704","ko-218704","Shipped","15","y","0","0","0","0","y","n","1641831862","2022","01","10","0","0","1648740911","","0",
"218705","1","26","370","0","96.79.84.49","KO-218705","ko-218705","Shipped","15","y","0","0","0","0","y","n","1641832353","2022","01","10","0","0","1641846957","","0",
"218706","1","26","1623","0","70.182.166.44","KO-218706","ko-218706","Shipped","15","y","0","0","0","0","y","n","1641832475","2022","01","10","0","0","1641843337","","0",
"218710","1","26","978","0","68.191.255.74","KO-218710","ko-218710","Shipped","15","y","0","0","0","0","y","n","1641834065","2022","01","10","0","0","1641850528","","0",
"218711","1","26","1515","0","75.24.114.174","KO-218711","ko-218711","Shipped","15","y","0","0","0","0","y","n","1641835740","2022","01","10","0","0","1641850565","0","0",
"218712","1","26","1128","0","74.218.144.178","KO-218712","ko-218712","Shipped","15","y","0","0","0","0","y","n","1641835989","2022","01","10","0","0","1643063713","","0",
"218713","1","26","1559","0","96.75.226.186","KO-218713","ko-218713","Shipped","15","y","0","0","0","0","y","n","1641836629","2022","01","10","0","0","1641850556","","0",
"218714","1","26","24","0","75.108.61.179","KO-218714","ko-218714","Shipped","15","y","0","0","0","0","y","n","1641836724","2022","01","10","0","0","1646148948","","0",
"218716","1","26","1427","0","66.162.129.38","KO-218716","ko-218716","Shipped","15","y","0","0","0","0","y","n","1641837177","2022","01","10","0","0","1646235307","","0",
"218720","1","26","1754","0","73.217.97.226","KO-218720","ko-218720","Shipped","15","y","0","0","0","0","y","n","1641839584","2022","01","10","0","0","1641850541","","0",
"218722","1","26","402","0","98.40.33.252","KO-218722","ko-218722","Shipped","15","y","0","0","0","0","y","n","1641840880","2022","01","10","0","0","1643643336","","0",
"218724","1","26","1494","0","73.254.21.241","KO-218724","ko-218724","Shipped","15","y","0","0","0","0","y","n","1641841438","2022","01","10","0","0","1641915328","","0",
"218725","1","26","101","0","207.182.65.182","KO-218725","ko-218725","Shipped","15","y","0","0","0","0","y","n","1641841524","2022","01","10","0","0","1641915348","","0",
"218727","1","26","1494","0","73.254.21.241","KO-218727","ko-218727","Shipped","15","y","0","0","0","0","y","n","1641842101","2022","01","10","0","0","1645464904","","0",
"218728","1","26","608","0","173.163.65.186","KO-218728","ko-218728","Partial Shipped","36","y","0","0","0","0","y","n","1641842278","2022","01","10","0","0","1642174538","","0",
"218729","1","26","715","0","65.30.199.227","KO-218729","ko-218729","Shipped","15","y","0","0","0","0","y","n","1641842527","2022","01","10","0","0","1642527326","","0",
"218730","1","26","1427","0","66.162.129.38","KO-218730","ko-218730","Shipped","15","y","0","0","0","0","y","n","1641842669","2022","01","10","0","0","1641915357","","0",
"218732","1","26","235","0","143.59.78.154","KO-218732","ko-218732","Shipped","15","y","0","0","0","0","y","n","1641842839","2022","01","10","0","0","1646670989","","0",
"218738","1","26","1515","0","75.24.114.174","KO-218738","ko-218738","Shipped","15","y","0","0","0","0","y","n","1641842940","2022","01","10","0","0","1641915307","0","0",
"218741","1","26","101","0","207.182.65.182","KO-218741","ko-218741","Shipped","15","y","0","0","0","0","y","n","1641843010","2022","01","10","0","0","1641911715","","0",
"218745","1","26","47","0","73.238.170.116","KO-218745","ko-218745","Shipped","15","y","0","0","0","0","y","n","1641843407","2022","01","10","0","0","1641915320","","0",
"218746","1","26","1515","0","75.24.114.174","KO-218746","ko-218746","Shipped","15","y","0","0","0","0","y","n","1641843420","2022","01","10","0","0","1641915302","0","0",
"218754","1","26","1515","0","75.24.114.174","KO-218754","ko-218754","Shipped","15","y","0","0","0","0","y","n","1641843660","2022","01","10","0","0","1641911737","0","0",
"218758","1","26","668","0","71.139.113.42","KO-218758","ko-218758","Shipped","15","y","0","0","0","0","y","n","1641844054","2022","01","10","0","0","1641915324","","0",
"218760","1","26","1324","0","98.102.131.250","KO-218760","ko-218760","Shipped","15","y","0","0","0","0","y","n","1641844080","2022","01","10","0","0","1641846953","0","0",
"218765","1","26","127","0","170.52.155.12","KO-218765","ko-218765","Shipped","15","y","0","0","0","0","y","n","1641844231","2022","01","10","0","0","1641854111","","0",
"218768","1","26","1723","0","96.95.235.169","KO-218768","ko-218768","Shipped","15","y","0","0","0","0","y","n","1641844597","2022","01","10","0","0","1641854102","","0",
"218769","1","26","1754","0","73.217.97.226","KO-218769","ko-218769","Shipped","15","y","0","0","0","0","y","n","1641844691","2022","01","10","0","0","1641911754","","0",
"218770","1","26","1515","0","75.24.114.174","KO-218770","ko-218770","Shipped","15","y","0","0","0","0","y","n","1641844680","2022","01","10","0","0","1641911702","0","0",
"218772","1","26","1494","0","184.176.79.221","KO-218772","ko-218772","Shipped","15","y","0","0","0","0","y","n","1641844863","2022","01","10","0","0","1641854106","","0",
"218773","1","26","300","0","65.96.243.252","KO-218773","ko-218773","Shipped","15","y","0","0","0","0","y","n","1641845228","2022","01","10","0","0","1641918987","","0",
"218774","1","26","1515","0","75.24.114.174","KO-218774","ko-218774","Shipped","15","y","0","0","0","0","y","n","1641845760","2022","01","10","0","0","1643038596","0","0",
"218776","1","26","722","0","74.143.23.22","KO-218776","ko-218776","Shipped","15","y","0","0","0","0","y","n","1641845913","2022","01","10","0","0","1642793812","","0",
"218778","1","26","370","0","96.79.84.49","KO-218778","ko-218778","Shipped","15","y","0","0","0","0","y","n","1641847483","2022","01","10","0","0","1641918992","","0",
"218780","1","26","36","0","67.166.47.34","KO-218780","ko-218780","Shipped","15","y","0","0","0","0","y","n","1641848486","2022","01","10","0","0","1643045721","","0",
"218781","1","26","502","0","50.250.187.249","KO-218781","ko-218781","Shipped","15","y","0","0","0","0","y","n","1641849380","2022","01","10","0","0","1641929721","","0",
"218782","1","26","403","0","65.7.73.4","KO-218782","ko-218782","Shipped","15","y","0","0","0","0","y","n","1641849655","2022","01","10","0","0","1642005343","","0",
"218783","1","26","1739","0","216.14.21.134","KO-218783","ko-218783","Sales Order Issued","34","y","0","0","0","0","y","n","1641850483","2022","01","10","0","0","1641851120","","0",
"218784","1","26","1739","0","216.14.21.134","KO-218784","ko-218784","Shipped","15","y","0","0","0","0","y","n","1641850616","2022","01","10","0","0","1642178102","","0",
"218785","1","26","1739","0","216.14.21.134","KO-218785","ko-218785","Shipped","15","y","0","0","0","0","y","n","1641850883","2022","01","10","0","0","1641918928","","0",
"218786","1","26","590","0","50.91.103.188","KO-218786","ko-218786","Shipped","15","y","0","0","0","0","y","n","1641851063","2022","01","10","0","0","1646746531","","0",
"218787","1","26","1427","0","66.162.129.38","KO-218787","ko-218787","Shipped","15","y","0","0","0","0","y","n","1641851169","2022","01","10","0","0","1641933307","","0",
"218788","1","26","716","0","66.244.186.2","KO-218788","ko-218788","Shipped","15","y","0","0","0","0","y","n","1641852092","2022","01","10","0","0","1641929712","","0",
"218789","1","26","1515","0","75.24.114.174","KO-218789","ko-218789","Shipped","15","y","0","0","0","0","y","n","1641852180","2022","01","10","0","0","1641922507","0","0",
"218790","1","26","7233","0","160.3.151.2","KO-218790","ko-218790","Shipped","15","y","0","0","0","0","y","n","1641853265","2022","01","10","0","0","1641929753","","0",
