"title","url_title","price","class","inventory_main","inventory_tx","inventory_nc","weight","inventory_ca",
"01.NR.250.1VG.10.B.V","01.nr.250.1vg.10.b.v","87","KF-PURCH","1","0","0","0","0",
"01-0011","01-0011","20.5","OI","0","84","115","1.67","0",
"01-00121","01-00121","63","AS","0","0","0","2","0",
"01-0013","01-0013","81","OI","0","0","0","0.5","0",
"01-0014","01-0014","65","OI","51","0","48","2","0",
"01-01806","01-01806","194","AS","0","0","0","18","0",
"01-01807","01-01807","119.75","AS","0","0","0","12","0",
"01-01821","01-01821","133","AS","0","0","1","0","0",
"01-01841","01-01841","169.5","AS","0","0","0","0","0",
"01-01871","01-01871","83","AS","0","0","0","8","0",
"01-01883","01-01883","188.5","AS","0","0","0","20","0",
"01-01901","01-01901","151.25","AS","0","0","0","0","0",
"01-01906","01-01906","171.75","AS","0","0","0","16","0",
"01-01907","01-01907","141.5","AS","0","0","0","13","0",
"01-01921","01-01921","89.5","AS","0","0","0","0","0",
"01-01922","01-01922","91.75","AS","0","0","0","0","0",
"01-01961","01-01961","142","AS","0","0","0","0","0",
"01-02001","01-02001","141","AS","0","0","0","15","0",
"01-02002","01-02002","108","AS","0","0","0","11","0",
"01-02003","01-02003","88.5","AS","0","0","0","11","0",
"01-02004","01-02004","104.75","AS","0","0","0","0","0",
"01-02005","01-02005","138.5","AS","0","0","0","0","0",
"01-02012","01-02012","92.25","AS","0","0","5","11","0",
"01-02031","01-02031","102.25","AS","0","0","0","0","0",
"01-02031/2","01-02031-2","102.25","AS","0","0","2","0","0",
"01-02033/2","01-02033-2","142","AS","0","9","6","0","0",
"01-02057","01-02057","74.75","AS","0","0","0","4","0",
"01-02059","01-02059","70.25","AS","0","0","0","4","0",
"01-02074","01-02074","66","AS","0","0","0","0","0",
"01-02075","01-02075","72.5","AS","0","0","2","4","0",
"01-02081","01-02081","115","AS","3","1","1","17","0",
"01-02082","01-02082","128.75","AS","0","0","25","10","0",
"01-02095","01-02095","172.25","AS","0","0","0","0","0",
"01-02101","01-02101","207.5","AS","0","0","0","0","0",
"01-02107","01-02107","229","AS","0","0","0","27","0",
"01-02121","01-02121","82.25","AS","0","0","2","0","0",
"01-02131","01-02131","188.75","AS","0","0","0","0","0",
"01-02141","01-02141","88.5","AS","0","0","0","8","0",
"01-02142","01-02142","50.5","AS","0","0","0","11","0",
"01-02145","01-02145","56.5","AS","0","0","0","0","0",
"01-02146","01-02146","136.75","AS","0","0","0","0","0",
"01-02162","01-02162","229.5","AS","0","0","0","27","0",
"01-02163","01-02163","209.75","AS","0","0","0","23","0",
"01-02165","01-02165","139.75","AS","0","0","0","13","0",
"01-02166","01-02166","159","AS","0","0","0","17","0",
"01-02169","01-02169","307.5","AS","0","0","0","0","0",
"01-02171","01-02171","97.25","AS","0","0","0","12","0",
"01-02174/2","01-02174-2","100.5","AS","0","0","0","5","0",
"01-02181","01-02181","104.75","AS","0","0","0","6","0",
"01-02182","01-02182","155","AS","0","0","0","0","0",
"01-02183","01-02183","210","AS","0","0","0","0","0",
"01-02186","01-02186","195.5","AS","0","0","11","21","0",
"01-02188","01-02188","99.25","AS","0","0","0","0","0",
"01-02189","01-02189","449","AS","0","0","0","61","0",
"01-02191","01-02191","107.75","AS","0","0","0","0","0",
"01-0220","01-0220","43","OI","0","0","0","5","0",
"01-02251","01-02251","71.25","AS","0","0","0","0","0",
"01-02256","01-02256","66.5","AS","0","0","2","3","0",
"01-02361","01-02361","156","AS","0","0","0","15","0",
"01-02362","01-02362","130.75","AS","0","0","0","17","0",
"01-02373","01-02373","127.75","AS","0","0","0","4","0",
"01-02381","01-02381","112.5","AS","0","0","0","15","0",
"01-02391","01-02391","145.75","AS","0","0","0","12","0",
"01-02401","01-02401","124","AS","0","0","0","0","0",
"01-02443","01-02443","83.5","AS","0","0","1","6","0",
"01-02455","01-02455","68.5","AS","0","0","0","0","0",
"01-02461","01-02461","124","AS","0","0","7","0","0",
"01-02502","01-02502","151.25","AS","0","0","0","0","0",
"01-02503","01-02503","152.75","AS","0","0","0","14","0",
"01-02504","01-02504","148.5","AS","0","0","0","12","0",
"01-02505","01-02505","125.75","AS","0","0","0","0","0",
"01-02506","01-02506","303.5","AS","0","0","0","0","0",
"01-02553","01-02553","189.5","AS","0","0","0","21","0",
"01-02581","01-02581","265.75","AS","0","0","1","19","0",
"01-02604","01-02604","128.25","AS","0","0","2","13","0",
"01-02651","01-02651","175","AS","0","0","0","0","0",
"01-02653","01-02653","150","AS","0","0","0","0","0",
"01-02654","01-02654","131.25","AS","0","0","0","0","0",
"01-02671","01-02671","119.25","AS","0","0","0","14","0",
"01-02681","01-02681","226.75","AS","0","0","0","20","0",
"01-02692","01-02692","109.25","AS","0","0","0","12","0",
"01-02700","01-02700","54.25","AS","0","0","0","0","0",
"01-02701","01-02701","102.75","AS","0","0","0","12","0",
"01-02702","01-02702","151.25","AS","0","0","0","0","0",
"01-02703","01-02703","161.5","AS","0","0","0","15","0",
"01-02706","01-02706","129.25","AS","0","0","0","0","0",
"01-02711","01-02711","220.5","AS","0","0","0","0","0",
"01-02721","01-02721","146.5","AS","0","0","0","0","0",
"01-02731","01-02731","111.25","AS","2","0","0","0","0",
"01-02741","01-02741","100.5","AS","0","0","0","0","0",
"01-02751","01-02751","267.25","AS","0","0","0","0","0",
"01-02761","01-02761","164.5","AS","0","0","0","16","0",
"01-02842","01-02842","230","AS","0","0","0","0","0",
"01-02871","01-02871","131.75","AS","0","0","0","0","0",
"01-02903","01-02903","170","AS","0","0","0","16","0",
"01-02961","01-02961","101.5","AS","0","0","0","12","0",
"01-03002","01-03002","196.25","AS","0","0","0","23","0",
"01-03004","01-03004","66.5","AS","0","0","0","0","0",
"01-03005","01-03005","77.5","AS","0","0","0","0","0",
"01-03013","01-03013","93","AS","0","0","0","0","0",
"01-03016","01-03016","188.75","AS","0","0","0","15","0",
"01-03017","01-03017","147.5","AS","0","0","0","0","0",
"01-03031","01-03031","146.5","AS","0","0","0","0","0",
"01-03038","01-03038","65.25","AS","0","0","0","4","0",
"01-03042","01-03042","212.5","AS","0","0","0","0","0",
"01-03052","01-03052","156.75","AS","0","0","0","0","0",
"01-03057","01-03057","78","AS","0","0","0","7","0",
"01-03067","01-03067","75.25","AS","0","0","0","4","0",
"01-03068","01-03068","95.5","AS","0","0","0","0","0",
"01-03071","01-03071","120.75","AS","0","0","0","19","0",
"01-03072","01-03072","176","AS","0","0","0","0","0",
"01-03076","01-03076","65.25","AS","0","0","0","4","0",
"01-03078","01-03078","45.75","AS","0","0","0","0","0",
"01-03080","01-03080","132.5","AS","0","0","0","18","0",
"01-03081","01-03081","234.5","AS","0","0","0","28","0",
"01-03082","01-03082","252","AS","0","0","0","0","0",
"01-03085","01-03085","224.5","AS","0","0","0","20","0",
"01-03091","01-03091","127.75","AS","0","0","4","10","0",
"01-03092","01-03092","49.25","AS","0","0","0","3","0",
"01-03101","01-03101","259.25","AS","0","0","0","35","0",
"01-03122","01-03122","127.75","AS","0","0","0","0","0",
"01-03161","01-03161","330","AS","0","0","0","0","0",
"01-03181","01-03181","164","AS","0","0","0","25","0",
"01-03218","01-03218","314.5","AS","0","0","0","45","0",
"01-03235","01-03235","127","AS","0","0","45","6","0",
"01-03242","01-03242","207","AS","0","0","0","23","0",
"01-03264","01-03264","279.75","AS","0","0","0","38","0",
"01-03265","01-03265","261.75","AS","0","0","0","32","0",
"01-03266","01-03266","131.25","AS","0","0","0","13","0",
"01-03279","01-03279","182.25","AS","0","0","0","0","0",
"01-03285","01-03285","412","AS","0","0","0","51.1","0",
"01-03286","01-03286","375.5","AS","0","0","0","40","0",
"01-03292","01-03292","90.5","AS","0","0","0","5","0",
"01-03311","01-03311","133.75","SEP-PURCH","4","0","0","0","0",
"01-03321","01-03321","279.25","AS","0","0","0","31","0",
"01-03331","01-03331","250","AS","0","0","0","32","0",
"01-03431","01-03431","128.75","AS","0","0","0","16","0",
"01-03451","01-03451","136","AS","0","0","0","0","0",
