"entry_id","site_id","channel_id","author_id","forum_topic_id","ip_address","title","url_title","status","status_id","versioning_enabled","view_count_one","view_count_two","view_count_three","view_count_four","allow_comments","sticky","entry_date","year","month","day","expiration_date","comment_expiration_date","edit_date","recent_comment_date","comment_total","description","price","class","photo","inventory","inventory_main","inventory_tx","inventory_nc","weight","in_transit_qty_main","manufactuers_lead_time","on_order_po_main","max_product_discount","price_3","um","inventory_ca","po_req_date_main","buyer","on_order_po_nc","on_order_po_tx","on_order_po_ca","in_transit_qty_nc","in_transit_qty_tx","in_transit_qty_ca","po_req_date_tx","po_req_date_nc","po_req_date_ca","height","width","length","category_product_categories",
"93615","1","37","1","","0","0032","0032","closed","2","n","0","0","0","0","n","n","1579570394","2020","01","20","0","0","1673926533","","0","0032","0","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","0","0","0","","","","",
"93616","1","37","1","","0","003BM10","003bm10","closed","2","n","0","0","0","0","n","n","1579570398","2020","01","20","0","0","1673926613","","0","003BM10","0","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","0","0","0","","","","",
"93617","1","37","1","","0","003TM02","003tm02","closed","2","n","0","0","0","0","n","n","1579570402","2020","01","20","0","0","1673926613","","0","003TM02","0","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","0","0","0","","","","",
"93618","1","37","1","","0","01 020 N70","01-020-n70","closed","2","n","0","0","0","0","n","n","1579570406","2020","01","20","0","0","1673926613","","0","01 020 N70","0","AS","","449","0","0","347","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","0","0","0","","","","",
"93619","1","37","1","","0","01.NR.250.1VG.10.B.V","01.nr.250.1vg.10.b.v","open","1","n","0","0","0","0","n","n","1579570410","2020","01","20","0","0","1674988213","","0","Hydraulic Filter","87","KF-PURCH","","1","1","0","0","0","0","21","0","0","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93620","1","37","1","","0","01-0011","01-0011","open","1","n","0","0","0","0","n","n","1579570414","2020","01","20","0","0","1674989454","","0","143984 ^CARTRIDGE, WATER/GLYCOL","20.5","OI","","249","0","84","115","1.67","0","0","0","15","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93621","1","37","1","","0","01-00111","01-00111","closed","2","n","0","0","0","0","n","n","1579570418","2020","01","20","0","0","1675017116","","0","1613-9014-00 ^AIR/OIL SEPARATOR USE KD250-052","75.25","SEP-PURCH","","2","0","0","0","1","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93622","1","37","1","","0","01-0012","01-0012","closed","2","n","0","0","0","0","n","n","1579570423","2020","01","20","0","0","1675048725","","0","172.13145 ^CARTRIDGE, OIL use kl200-029","23","OI","","155","0","0","0","3.8","0","0","0","20","0","EACH","0","","STOCK","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93623","1","37","1","","0","01-00121","01-00121","open","1","n","0","0","0","0","n","n","1579570427","2020","01","20","0","0","1675047627","","0","use KV25-014 92824473 ^AIR/OIL SEPARATOR","63","AS","","12","0","0","0","2","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93624","1","37","1","","0","01-0013","01-0013","open","1","n","0","0","0","0","n","n","1579570431","2020","01","20","0","0","1674987183","","0","use KL190-040 02250155-709 ^ELEMENT, OIL","81","OI","","0","0","0","0","0.5","0","0","0","15","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93625","1","37","1","","0","01-00131","01-00131","closed","2","n","0","0","0","0","n","n","1579570435","2020","01","20","0","0","1673926613","","0","01-00131","0","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","","","","",
"93626","1","37","1","","0","01-0014","01-0014","open","1","n","0","0","0","0","n","n","1579570441","2020","01","20","0","0","1675179511","","0","02250156-601 ^ELEMENT, OIL","65","OI","","110","44","0","48","2","0","0","460","15","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93627","1","37","1","","0","01-00145","01-00145","open","1","n","0","0","0","0","n","n","1579570445","2020","01","20","0","0","1675011422","","0","98262/5133 ^AIR/OIL SEPARATOR","70.75","AS","","1","0","0","5","3","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93628","1","37","1","","0","01-0015","01-0015","open","1","n","0","0","0","0","n","n","1579570449","2020","01","20","0","0","1674997473","","0","DSC-624 ^CARTRIDGE, OIL","52","OI","","6","0","0","29","2","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
